Cargo;Percentil 25;Mediana;Percentil 75;Amostra
Administradores de sistemas;3000;3700;8000;47
Analistas de sistemas;3500;5500;9000;703
Desenhistas e administradores de bases de dados;3000;5000;8000;55
Desenvolvedores de páginas de internet (web) e multimídia;2700;3200;4500;20
Desenvolvedores de programas e aplicativos (software);4000;6100;10000;280
Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormen;3000;4700;6000;27
Especialistas em base de dados e em redes de computadores não classificados anteriormente;3000;6000;8000;29
Profissionais em rede de computadores;2800;3500;7300;23
Programadores de aplicações;2500;4000;7000;114
Técnicos da web;1600;2500;3700;52
Técnicos de redes e sistemas de computadores;1500;2000;3000;672
Técnicos em assistência ao usuário de tecnologia da informação e das comunicações;1500;2200;3500;157
Técnicos em operações de tecnologia da informação e das comunicações;1500;2500;4000;488
