Categorização;Perfil; Remuneração ; Custo ;Quantitativo; Remuneração Mensal ; Custo Mensal ;Total Remuneração Equipe;Total Custo Equipe;Fator-K por perfil;Fator-K da contratação;Fator-K (somente perfis usados na pesquisa salarial)
Administrador de sistemas operacionais Senior;Especialista Técnico Middleware; R$ 10.953,00 ; R$ 18.876,29 ;1,0; R$ 10.953,00 ; R$ 18.876,29 ; R$ 255.099,30 ; R$ 454.726,43 ;1,72;1,78;1,73
Administrador de sistemas operacionais Senior;Analista de Middleware – Plataforma Microsoft - Sênior; R$ 9.309,75 ; R$ 16.192,09 ;1,0; R$ 9.309,75 ; R$ 16.192,09 ;;;1,74;;1,74
Administrador de sistemas operacionais Pleno;Analista de Middleware – Plataforma Java/Apache - Pleno; R$ 6.693,75 ; R$ 11.918,94 ;1,0; R$ 6.693,75 ; R$ 11.918,94 ;;;1,78;;1,78
Administrador de sistemas operacionais Senior;Analista de Middleware – Plataforma Java - Sênior; R$ 9.309,75 ; R$ 16.192,09 ;1,0; R$ 9.309,75 ; R$ 16.192,09 ;;;1,74;;1,74
Administrador de sistemas operacionais Pleno;Analista de Middleware - Plataforma Notes - Pleno; R$ 6.693,75 ; R$ 11.918,94 ;0,5 ; R$ 3.346,88 ; R$ 5.959,47 ;;;1,78;;1,78
Administrador de banco de dados - Pleno;Analista DBA - Foco em Análise e Otimização de Queries - Pleno; R$ 6.418,25 ; R$ 11.468,92 ;1,0; R$ 6.418,25 ; R$ 11.468,92 ;;;1,79;;1,79
Administrador de banco de dados - Senior;Analista DBA - Oracle - Sênior; R$ 9.184,50 ; R$ 15.987,50 ;1,0; R$ 9.184,50 ; R$ 15.987,50 ;;;1,74;;1,74
Administrador de banco de dados - Senior;Analista DBA – SQL Server - Sênior; R$ 9.184,50 ; R$ 15.987,50 ;1,0; R$ 9.184,50 ; R$ 15.987,50 ;;;1,74;;1,74
Analista de suporte computacional Senior;Analista de Virtualização e Armazenamento - Sênior; R$ 8.678,25 ; R$ 15.160,56 ;1,0; R$ 8.678,25 ; R$ 15.160,56 ;;;1,75;;1,75
Analista de suporte computacional Pleno;Analista de Virtualização e Armazenamento - Pleno; R$ 6.476,00 ; R$ 11.563,26 ;1,0; R$ 6.476,00 ; R$ 11.563,26 ;;;1,79;;1,79
Administrador de sistemas operacionais Senior;Analista de Sistemas Operacionais – Windows Server - Sênior; R$ 9.058,33 ; R$ 15.781,41 ;2,0; R$ 18.116,66 ; R$ 31.562,82 ;;;1,74;;1,74
Administrador de sistemas operacionais Pleno;Analista de Sistemas Operacionais – Windows Server - Pleno; R$ 6.495,86 ; R$ 15.132,62 ;0,5 ; R$ 3.247,93 ; R$ 7.566,31 ;;;2,33;;2,33
Administrador de sistemas operacionais Senior;Analista de Sistemas Operacionais – Unix - Sênior; R$ 9.058,33 ; R$ 15.781,41 ;1,0; R$ 9.058,33 ; R$ 15.781,41 ;;;1,74;;1,74
Analista de redes e de comunicação de dados Senior;Analista de Redes - Sênior; R$ 8.933,50 ; R$ 15.577,50 ;1,0; R$ 8.933,50 ; R$ 15.577,50 ;;;1,74;;1,74
Analista de redes e de comunicação de dados Pleno;Analista de Redes - Pleno; R$ 6.014,75 ; R$ 10.809,82 ;1,0; R$ 6.014,75 ; R$ 10.809,82 ;;;1,80;;1,80
Administrador em segurança da informação - Senior;Especialista Técnico Segurança da Informação; R$ 11.404,25 ; R$ 19.613,39 ;1,0; R$ 11.404,25 ; R$ 19.613,39 ;;;1,72;;1,72
Administrador em segurança da informação - Pleno;Analista de Segurança da Informação - Redes - Pleno; R$ 6.502,00 ; R$ 15.145,99 ;1,0; R$ 6.502,00 ; R$ 15.145,99 ;;;2,33;;2,33
Administrador em segurança da informação - Pleno;Analista de Segurança da Informação - Sistemas Operacionais - Pleno; R$ 6.502,00 ; R$ 11.605,73 ;1,0; R$ 6.502,00 ; R$ 11.605,73 ;;;1,78;;1,78
Analista de suporte computacional Pleno;Operador - Pleno; R$ 5.439,50 ; R$ 9.774,42 ;8,0; R$ 43.516,00 ; R$ 78.195,36 ;;;1,80;;1,80
Analista de suporte computacional Pleno;Analista de Produção - Pleno; R$ 5.858,75 ; R$ 10.555,00 ;1,0; R$ 5.858,75 ; R$ 10.555,00 ;;;1,80;;1,80
Analista de suporte computacional Pleno;Analista de Acesso - Pleno; R$ 5.257,00 ; R$ 9.572,06 ;1,0; R$ 5.257,00 ; R$ 9.572,06 ;;;1,82;;1,82
Analista de suporte computacional Pleno;Analista de Monitoramento - Pleno; R$ 5.771,00 ; R$ 10.411,66 ;1,0; R$ 5.771,00 ; R$ 10.411,66 ;;;1,80;;1,80
Analista de suporte computacional Senior;Analista de Backup - Sênior; R$ 8.327,25 ; R$ 14.587,21 ;1,0; R$ 8.327,25 ; R$ 14.587,21 ;;;1,75;;1,75
Gerente de infraestrutura de tecnologia da informação;Coordenador de Infraestrutura; R$ 10.900,33 ; R$ 18.790,25 ;1,0; R$ 10.900,33 ; R$ 18.790,25 ;;;1,72;;1,72
Gerente de suporte técnico de tecnologia da informação;Coordenador de Operações; R$ 10.164,67 ; R$ 17.588,58 ;1,0; R$ 10.164,67 ; R$ 17.588,58 ;;;1,73;;1,73
Desenvolvedor de sistemas de tecnologia da informação Pleno;Analista de Qualidade Pleno; R$ 6.793,00 ; R$ 12.081,06 ;1,0; R$ 6.793,00 ; R$ 12.081,06 ;;;1,78;;1,78
Desenvolvedor de sistemas de tecnologia da informação Senior;Analista de Qualidade Sênior; R$ 9.177,25 ; R$ 15.975,66 ;1,0; R$ 9.177,25 ; R$ 15.975,66 ;;;1,74;;1,74
-;SUPERVISOR GERAL; R$ 11.500,00 ; - ;1,0; R$ 11.500,00 ; - ; R$ 205.302,00 ; R$ 395.699,07 ;1,93;1,93;
-;ENGENHEIRO; R$ 10.302,00 ; - ;1,0; R$ 10.302,00 ; - ; R$ 91.402,00 ;;1,93;;
-;ENCARREGADO DE EQUIPE; R$ 4.600,00 ; - ;4,0; R$ 18.400,00 ; - ; R$ 93.100,00 ;;1,93;;
Técnico em manutenção de equipamentos de informática Senior;TECNICO DE CAMPO; R$ 2.600,00 ; - ;14,0; R$ 36.400,00 ; - ; R$ 81.000,00 ;;1,93;;1,93
Técnico em manutenção de equipamentos de informática Pleno;ASSISTENTE TECNICO DE CAMPO; R$ 2.100,00 ; - ;11,0; R$ 23.100,00 ; - ; R$ 66.200,00 ;;1,93;;1,93
-;AJUDANTE GERAL; R$ 1.600,00 ; - ;2,0; R$ 3.200,00 ; - ; R$ 49.400,00 ;;1,93;;
Técnico em manutenção de equipamentos de informática Senior;TECNICO EM ELETRONICA; R$ 4.000,00 ; - ;3,0; R$ 12.000,00 ; - ; R$ 60.200,00 ;;1,93;;1,93
-;SUPERVISOR DE HELPDESK; R$ 6.300,00 ; - ;1,0; R$ 6.300,00 ; - ; R$ 60.800,00 ;;1,93;;
