mes;estoque;admissoes;desligamentos;saldos;variaca_relativa_perc;descricao
2020-01-01;39.556.352;1.510.193;1.398.147;112.046;----;estoque_admissao_desligamento_saldo_mes
2020-02-01;39.773.604;1.613.806;1.396.554;217.252;0,55;estoque_admissao_desligamento_saldo_mes
2020-03-01;39.478.526;1.459.555;1.754.633;-295.078;-0,74;estoque_admissao_desligamento_saldo_mes
2020-04-01;38.496.947;664.855;1.646.434;-981.579;-2,49;estoque_admissao_desligamento_saldo_mes
2020-05-01;38.098.589;761.818;1.160.176;-398.358;-1,03;estoque_admissao_desligamento_saldo_mes
2020-06-01;38.045.120;962.360;1.015.829;-53.469;-0,14;estoque_admissao_desligamento_saldo_mes
2020-07-01;38.153.512;1.177.197;1.068.805;108.392;0,28;estoque_admissao_desligamento_saldo_mes
2020-08-01;38.368.021;1.329.009;1.114.500;214.509;0,56;estoque_admissao_desligamento_saldo_mes
2020-09-01;38.667.577;1.490.800;1.191.244;299.556;0,78;estoque_admissao_desligamento_saldo_mes
2020-10-01;39.033.533;1.662.661;1.296.705;365.956;0,95;estoque_admissao_desligamento_saldo_mes
2020-11-01;39.409.819;1.655.598;1.279.312;376.286;0,96;estoque_admissao_desligamento_saldo_mes
2020-12-01;39.252.480;1.335.619;1.492.958;-157.339;-0,4;estoque_admissao_desligamento_saldo_mes
2021-01-01;39.506.797;1.711.093;1.456.776;254.317;0,65;estoque_admissao_desligamento_saldo_mes
2021-02-01;39.904.512;1.863.977;1.466.262;397.715;1,01;estoque_admissao_desligamento_saldo_mes
2021-03-01;40.058.126;1.759.132;1.605.518;153.614;0,38;estoque_admissao_desligamento_saldo_mes
2021-04-01;40.148.144;1.503.054;1.413.036;90.018;0,22;estoque_admissao_desligamento_saldo_mes
2021-05-01;40.414.608;1.651.497;1.385.033;266.464;0,66;estoque_admissao_desligamento_saldo_mes
2021-06-01;40.732.605;1.698.750;1.380.753;317.997;0,79;estoque_admissao_desligamento_saldo_mes
2021-07-01;41.039.479;1.766.021;1.459.147;306.874;0,75;estoque_admissao_desligamento_saldo_mes
2021-08-01;41.427.311;1.918.073;1.530.241;387.832;0,95;estoque_admissao_desligamento_saldo_mes
2021-09-01;41.757.455;1.890.528;1.560.384;330.144;0,8;estoque_admissao_desligamento_saldo_mes
2021-10-01;42.010.200;1.841.905;1.589.160;252.745;0,61;estoque_admissao_desligamento_saldo_mes
2021-11-01;42.324.312;1.861.657;1.547.545;314.112;0,75;estoque_admissao_desligamento_saldo_mes
2021-12-01;42.032.918;1.479.987;1.771.381;-291.394;-0,69;estoque_admissao_desligamento_saldo_mes
2022-01-01;42.200.496;1.851.153;1.683.575;167.578;0,4;estoque_admissao_desligamento_saldo_mes
2022-02-01;42.554.254;2.089.467;1.735.709;353.758;0,84;estoque_admissao_desligamento_saldo_mes
2022-03-01;42.653.354;2.002.619;1.903.519;99.100;0,23;estoque_admissao_desligamento_saldo_mes
2022-04-01;42.858.966;1.887.004;1.681.392;205.612;0,48;estoque_admissao_desligamento_saldo_mes
2022-05-01;43.136.842;2.001.973;1.724.097;277.876;0,65;estoque_admissao_desligamento_saldo_mes
2022-06-01;43.422.031;1.933.632;1.648.443;285.189;0,66;estoque_admissao_desligamento_saldo_mes
2022-07-01;43.647.242;1.922.830;1.697.619;225.211;0,52;estoque_admissao_desligamento_saldo_mes
2022-08-01;43.935.644;2.085.185;1.796.783;288.402;0,66;estoque_admissao_desligamento_saldo_mes
2022-09-01;44.213.762;1.952.528;1.674.410;278.118;0,63;estoque_admissao_desligamento_saldo_mes
2022-10-01;44.374.119;1.819.191;1.658.834;160.357;0,36;estoque_admissao_desligamento_saldo_mes
2022-11-01;44.501.950;1.773.576;1.645.745;127.831;0,29;estoque_admissao_desligamento_saldo_mes
2022-12-01;44.046.415;1.408.796;1.864.331;-455.535;-1,02;estoque_admissao_desligamento_saldo_mes
2023-01-01;44.136.437;1.920.499;1.830.477;90.022;0,2;estoque_admissao_desligamento_saldo_mes
2023-02-01;44.388.924;1.991.091;1.738.604;252.487;0,57;estoque_admissao_desligamento_saldo_mes
2023-03-01;44.583.076;2.204.879;2.010.727;194.152;0,44;estoque_admissao_desligamento_saldo_mes
2023-04-01;44.764.569;1.899.485;1.717.992;181.493;0,41;estoque_admissao_desligamento_saldo_mes
2023-05-01;44.920.264;2.024.214;1.868.519;155.695;0,35;estoque_admissao_desligamento_saldo_mes
2023-06-01;45.077.139;1.936.346;1.779.471;156.875;0,35;estoque_admissao_desligamento_saldo_mes
2023-07-01;45.220.112;1.902.034;1.759.061;142.973;0,32;estoque_admissao_desligamento_saldo_mes
2023-08-01;45.440.663;2.115.667;1.895.116;220.551;0,49;estoque_admissao_desligamento_saldo_mes
2023-09-01;45.646.522;1.939.268;1.733.409;205.859;0,45;estoque_admissao_desligamento_saldo_mes
2023-10-01;45.835.291;1.960.666;1.771.897;188.769;0,41;estoque_admissao_desligamento_saldo_mes
2023-11-01;45.959.094;1.878.977;1.755.174;123.803;0,27;estoque_admissao_desligamento_saldo_mes
2023-12-01;45.517.275;1.511.222;1.953.041;-441.819;-0,96;estoque_admissao_desligamento_saldo_mes
2024-01-01;45.685.778;2.093.157;1.924.654;168.503;0,37;estoque_admissao_desligamento_saldo_mes
2024-02-01;45.991.889;2.249.070;1.942.959;306.111;0,67;estoque_admissao_desligamento_saldo_mes
